#CNTAS Song Fri Oct 24 00:01:42 2014 
#USER: Song 
#DATE: Fri Oct 24 00:01:42 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[1.05, 1.05, 1.05, -8], step=[0, 0, 0, 0.2], np=81, time=60)
#STEPS: EN = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   45.00          om=  264.29 
#ANGLES:        s2th=  -97.67         ath=   39.92      detang=   79.84 
#ANGLES:         sgU=    0.11         sgL=    0.53       mvfoc= 1090.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   16.00         s1Y=   16.00 
#ANGLES:         s1L=   60.00         s1U=   60.00         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.00         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   16.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 1.0500  1.0500  1.0500   0.80 315042.0   60.00       30       10   115942  22.50  45.00 233.87 -71.91  23.30  46.61   0.53   0.11
 1.0500  1.0500  1.0500   1.00 314205.0   60.00       35        9   115944  22.50  45.00 233.36 -72.25  23.52  47.04   0.53   0.11
 1.0500  1.0500  1.0500   1.20 316679.0   60.00       32       10   115946  22.50  45.00 232.86 -72.59  23.74  47.49   0.53   0.11
 1.0500  1.0500  1.0500   1.40 315670.0   60.00       32        9   115948  22.50  45.00 232.35 -72.94  23.97  47.94   0.53   0.11
 1.0500  1.0500  1.0500   1.60 315256.0   60.00       32       11   115950  22.50  45.00 231.83 -73.30  24.20  48.41   0.53   0.11
 1.0500  1.0500  1.0500   1.80 316935.0   60.00       35        8   115952  22.50  45.00 231.31 -73.66  24.45  48.90   0.53   0.11
 1.0500  1.0500  1.0500   2.00 316299.0   60.00       29       10   115954  22.50  45.00 230.79 -74.02  24.70  49.39   0.53   0.11
 1.0500  1.0500  1.0500   2.20 315168.0   60.00       35        7   115956  22.50  45.00 230.27 -74.39  24.95  49.91   0.53   0.11
 1.0500  1.0500  1.0500   2.40 315997.0   60.00       36       14   115958  22.50  45.00 229.74 -74.77  25.22  50.44   0.53   0.11
 1.0500  1.0500  1.0500   2.60 315225.0   60.00       37       15   115960  22.50  45.00 229.20 -75.14  25.49  50.98   0.53   0.11
 1.0500  1.0500  1.0500   2.80 316013.0   60.00       36       12   115962  22.50  45.00 228.66 -75.53  25.78  51.55   0.53   0.11
 1.0500  1.0500  1.0500   3.00 314389.0   60.00       38       22   115964  22.50  45.00 228.12 -75.92  26.07  52.14   0.53   0.11
 1.0500  1.0500  1.0500   3.20 314784.0   60.00       37       19   115966  22.50  45.00 227.57 -76.32  26.37  52.74   0.53   0.11
 1.0500  1.0500  1.0500   3.40 316337.0   60.00       36       15   115968  22.50  45.00 227.01 -76.72  26.69  53.37   0.53   0.11
 1.0500  1.0500  1.0500   3.60 316150.0   60.00       39       17   115970  22.50  45.00 226.46 -77.13  27.01  54.02   0.53   0.11
 1.0500  1.0500  1.0500   3.80 316227.0   60.00       35       18   115972  22.50  45.00 225.89 -77.55  27.35  54.70   0.53   0.11
 1.0500  1.0500  1.0500   4.00 317050.0   60.00       36       16   115974  22.50  45.00 225.32 -77.97  27.70  55.40   0.53   0.11
