#CNTAS Song Sat Jul 19 07:55:56 2014 
#USER: Song 
#DATE: Sat Jul 19 07:55:56 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=10, step=0.2, end=350, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=   10.00 
#ANGLES:        s2th=  -59.31         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.64     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     35.40         12          0     6310.0        5.0     105951      0.000      0.000
     35.60          6          0     6421.0        5.0     105952      0.000      0.000
     35.80         11          1     6287.0        5.0     105953      0.000      0.000
     36.00         13          2     6237.0        5.0     105954      0.000      0.000
     36.20          5          1     6283.0        5.0     105955      0.000      0.000
     36.40          7          1     6342.0        5.0     105956      0.000      0.000
     36.60          6          2     6332.0        5.0     105957      0.000      0.000
     36.80         10          1     6466.0        5.0     105958      0.000      0.000
     37.00         12          0     6366.0        5.0     105959      0.000      0.000
     37.20          6          0     6179.0      5.008     105960      0.000      0.000
     37.40          9          1     6294.0        5.0     105961      0.000      0.000
     37.60          6          2     6331.0        5.0     105962      0.000      0.000
     37.80          8          1     6199.0        5.0     105963      0.000      0.000
     38.00          8          3     6258.0        5.0     105964      0.000      0.000
     38.20         10          3     6142.0        5.0     105965      0.000      0.000
     38.40          5          1     6319.0        5.0     105966      0.000      0.000
     38.60          3          1     6108.0        5.0     105967      0.000      0.000
     38.80          7          3     6318.0        5.0     105968      0.000      0.000
     39.00          6          2     6412.0        5.0     105969      0.000      0.000
     39.20          6          1     6355.0        5.0     105970      0.000      0.000
     39.40          3          0     6280.0        5.0     105971      0.000      0.000
     39.60          3          0     6283.0        5.0     105972      0.000      0.000
     39.80         15          3     6367.0        5.0     105973      0.000      0.000
     40.00          9          1     6323.0      5.008     105974      0.000      0.000
     40.20          7          1     6227.0      5.005     105975      0.000      0.000
     40.40          5          1     6216.0        5.0     105976      0.000      0.000
     40.60          2          0     6292.0        5.0     105977      0.000      0.000
     40.80          7          1     6284.0        5.0     105978      0.000      0.000
     41.00          6          0     6337.0        5.0     105979      0.000      0.000
     41.20          8          1     6165.0        5.0     105980      0.000      0.000
     41.40          5          0     6229.0        5.0     105981      0.000      0.000
     41.60         17          5     6483.0        5.0     105982      0.001      0.000
     41.80          9          3     6427.0        5.0     105983      0.000      0.000
     42.00         18          7     6283.0        5.0     105984      0.001      0.000
     42.20          6          2     6201.0        5.0     105985      0.000      0.000
     42.40          6          3     6243.0        5.0     105986      0.000      0.000
     42.60          6          2     6416.0        5.0     105987      0.000      0.000
     42.80          7          1     6369.0        5.0     105988      0.000      0.000
     43.00          5          1     6166.0        5.0     105989      0.000      0.000
     43.20          3          0     6276.0      5.008     105990      0.000      0.000
     43.40          9          2     6262.0        5.0     105991      0.000      0.000
     43.60          6          3     6283.0        5.0     105992      0.000      0.000
