#CNTAS Song Sat Jul 19 01:06:59 2014 
#USER: Song 
#DATE: Sat Jul 19 01:06:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=350, step=0.2, end=10, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  350.00 
#ANGLES:        s2th=  -59.32         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.65     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    323.80          3          0     6327.0        5.0     104254      0.000      0.000
    323.60          3          1     6406.0        5.0     104255      0.000      0.000
    323.40          2          0     6370.0        5.0     104256      0.000      0.000
    323.20          2          0     6443.0        5.0     104257      0.000      0.000
    323.00          4          0     6301.0        5.0     104258      0.000      0.000
    322.80          2          0     6464.0        5.0     104259      0.000      0.000
    322.60          3          0     6459.0        5.0     104260      0.000      0.000
    322.40          3          0     6252.0        5.0     104261      0.000      0.000
    322.20          3          0     6464.0        5.0     104262      0.000      0.000
    322.00          2          0     6441.0        5.0     104263      0.000      0.000
    321.80          5          0     6417.0        5.0     104264      0.000      0.000
    321.60          5          0     6274.0        5.0     104265      0.000      0.000
    321.40          3          2     6105.0        5.0     104266      0.000      0.000
    321.20          4          0     6481.0      5.008     104267      0.000      0.000
    321.00          4          0     6297.0        5.0     104268      0.000      0.000
    320.80          5          2     6359.0        5.0     104269      0.000      0.000
    320.60          4          1     6506.0        5.0     104270      0.000      0.000
    320.40          4          1     6364.0        5.0     104271      0.000      0.000
    320.20          1          0     6314.0        5.0     104272      0.000      0.000
    320.00          1          0     6379.0        5.0     104273      0.000      0.000
    319.80          1          1     6221.0        5.0     104274      0.000      0.000
    319.60          8          1     6356.0        5.0     104275      0.000      0.000
    319.40          1          0     6324.0        5.0     104276      0.000      0.000
    319.20          3          0     6283.0        5.0     104277      0.000      0.000
    319.00          1          0     6362.0        5.0     104278      0.000      0.000
    318.80          4          0     6416.0        5.0     104279      0.000      0.000
    318.60          1          0     6415.0        5.0     104280      0.000      0.000
    318.40          4          1     6286.0      5.008     104281      0.000      0.000
    318.20          3          0     6299.0        5.0     104282      0.000      0.000
    318.00          4          1     6342.0        5.0     104283      0.000      0.000
    317.80          2          1     6304.0        5.0     104284      0.000      0.000
    317.60          2          1     6558.0        5.0     104285      0.000      0.000
    317.40          3          0     6380.0        5.0     104286      0.000      0.000
    317.20          2          0     6371.0      5.001     104287      0.000      0.000
    317.00          3          0     6240.0        5.0     104288      0.000      0.000
    316.80          2          0     6196.0        5.0     104289      0.000      0.000
    316.60          5          2     6395.0        5.0     104290      0.000      0.000
    316.40          3          0     6269.0        5.0     104291      0.000      0.000
